Horário;Segundos desde 01/01/1900;Temperatura_do_ar_[C];Velocidade_do_ar_[m/s];Temperatura_de_globo_[C];Umidade_do_ar_[%];Amplificador_1_[V];Amplificador_2_[V];Amplificador_3_[V];Amplificador_4_[V];Temperatura_de_referência_[C];Sinal_1_[V];Sinal_2_[V]
2003/May/16,14h01m;1053104503;0;0;0;0;0;0;0;0;13.82;0;0;
2003/May/16,14h02m;1053104563;0;0;0;0;0;0;0;0;13.0333;0;0;
2003/May/16,14h03m;1053104623;0;0;0;0;0;0;0;0;13.8305;0;0;
2003/May/16,14h04m;1053104683;0;0;0;0;0;0;0;0;14;0;0;
2003/May/16,14h05m;1053104743;0;0;0;0;0;0;0;0;14.55;0;0;
2003/May/16,14h06m;1053104803;0;0;0;0;0;0;0;0;14.9833;0;0;
2003/May/16,14h07m;1053104863;0;0;0;0;0;0;0;0;15;0;0;
2003/May/16,14h08m;1053104923;0;0;0;0;0;0;0;0;15.4407;0;0;
2003/May/16,14h09m;1053104983;0;0;0;0;0;0;0;0;15.9667;0;0;
2003/May/16,14h10m;1053105043;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h11m;1053105103;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h12m;1053105163;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h13m;1053105223;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h14m;1053105283;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h15m;1053105343;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h16m;1053105403;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h17m;1053105463;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h18m;1053105523;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h19m;1053105583;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h20m;1053105643;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h21m;1053105703;0;0;0;0;0;0;0;0;16.0847;0;0;
2003/May/16,14h22m;1053105763;0;0;0;0;0;0;0;0;16.1148;0;0;
2003/May/16,14h23m;1053105823;0;0;0;0;0;0;0;0;16.0833;0;0;
2003/May/16,14h24m;1053105883;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h25m;1053105943;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h26m;1053106003;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h27m;1053106063;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h28m;1053106123;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h29m;1053106183;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h30m;1053106243;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h31m;1053106303;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h32m;1053106363;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h33m;1053106423;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h34m;1053106483;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h35m;1053106543;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h36m;1053106603;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h37m;1053106663;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h38m;1053106723;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h39m;1053106783;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h40m;1053106843;0;0;0;0;0;0;0;0;16;0;0;
2003/May/16,14h41m;1053106903;0;0;0;0;0;0;0;0;16;0;0;
